phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/0095J,peter howson,LP,male,Cam,humanities,employed_top_management,Military,1955-12-10,1969-10-25,1964
phid/009MA,william mcmahon,LP,male,Syd,economics_law,employed_professional,Military,1949-12-10,1982-01-04,1964
phid/009MC,harold holt,LP,male,Mel,law,employed_professional,NA,1949-12-10,1967-12-19,1964
phid/009MM,bert kelly,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1958-11-22,1977-11-10,1964
phid/126,garfield barwick,LP,male,Syd,humanities_law,employed_professional,NA,1958-03-08,1964-04-24,1964
phid/3V4,don chipp,LP,male,Mel,humanities,employed_professional,Military,1960-12-10,1969-10-25,1964
phid/4U4,jim killen,LP,male,Qld,law,employed_professional,Military,1955-12-10,1983-08-15,1964
phid/DB6,bill wentworth,LP,male,Oxf,economics,self-employed_professional,Military,1949-12-10,1977-11-10,1964
phid/DQF,billy snedden,LP,male,UWA,law,employed_professional,Military,1955-12-10,1983-04-21,1964
phid/IIS,tom hughes,LP,male,Syd,law,employed_professional,Military,1963-11-30,1969-10-25,1964
phid/JMF,william aston,LP,male,NA,NA,employed_top_management,Military,1963-11-30,1972-12-02,1964
phid/JOE,jeff bate,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1972-12-02,1964
phid/JR9,len bosman,LP,male,NA,NA,employed_blue-collar_worker,Military,1963-11-30,1969-10-25,1964
phid/JSY,alexander buchanan,LP,male,NA,humanities,self-employed_farmer_fisherman,Military,1955-12-10,1972-12-02,1964
phid/JTP,les bury,LP,male,Cam,humanities,employed_top_management,Military,1956-12-08,1974-04-11,1964
phid/JTS,kevin cairns,LP,male,Qld,humanities_economics,employed_professional,NA,1963-11-30,1972-12-02,1964
phid/JWI,max fox,LP,male,NA,NA,employed_other_white-collar_worker,Military,1955-12-10,1974-05-18,1964
phid/JWV,fred chaney sr.,LP,male,NA,NA,school_teacher,Military,1955-12-10,1969-10-25,1964
phid/JXI,gordon freeth,LP,male,UWA,law,employed_professional,Military,1949-12-10,1969-10-25,1964
phid/JYO,richard cleaver,LP,male,NA,NA,employed_professional,Military,1955-12-10,1969-10-25,1964
phid/JZG,john cockle,LP,male,NA,NA,employed_other_white-collar_worker,Military,1961-12-09,1966-08-03,1964
phid/K7J,john cramer,LP,male,NA,NA,employed_other_white-collar_worker,Military,1949-12-10,1974-04-11,1964
phid/KAR,wylie gibbs,LP,male,Qld,medicine,employed_professional,NA,1963-11-30,1969-10-25,1964
phid/KBH,keith wilson,LP,male,Adl,law,employed_professional,Military,1955-12-10,1966-10-31,1964
phid/KCD,frank davis,LP,male,NA,NA,employed_blue-collar_worker,NA,1949-12-10,1966-10-31,1964
phid/KCK,alick downer,LP,male,Oxf,economics,employed_professional,Military,1949-12-10,1964-04-23,1964
phid/KCU,nigel drury,LP,male,NA,NA,employed_professional,Military,1949-12-10,1975-11-11,1964
phid/KDO,dudley erwin,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1955-12-10,1975-11-11,1964
phid/KDT,david fairbairn,LP,male,Cam,humanities,self-employed_farmer_fisherman,Military,1949-12-10,1975-11-11,1964
phid/KEE,wilfrid kent hughes,LP,male,Oxf,humanities,employed_top_management,Military,1949-12-10,1970-07-31,1964
phid/KEN,allen fairhall,LP,male,NA,NA,employed_blue-collar_worker,Military,1949-12-10,1969-09-29,1964
phid/KEP,bill falkinder,LP,male,NA,NA,employed_professional,Military,1946-09-28,1966-10-31,1964
phid/KFH,jim forbes,LP,male,Adl,humanities,university_professor,Military,1956-10-13,1975-11-11,1964
phid/KGP,william haworth,LP,male,Mel,medicine,employed_professional,Military,1949-12-10,1969-09-29,1964
phid/KIF,alan hulme,LP,male,NA,NA,employed_professional,NA,1963-11-30,1972-11-02,1964
phid/KIW,malcolm mackay,LP,male,Adl,humanities,other,Military,1963-11-30,1972-12-02,1964
phid/KJG,les irwin,LP,male,NA,NA,employed_top_management,Military,1963-11-30,1972-12-02,1964
phid/KJK,william jack,LP,male,NA,NA,employed_top_management,NA,1949-12-10,1966-10-31,1964
phid/KKB,john jess,LP,male,NA,NA,self-employed_small_businessman,Military,1960-04-09,1972-12-02,1964
phid/KKU,dan mackinnon,LP,male,Oxf,humanities,self-employed_farmer_fisherman,Military,1953-08-29,1966-10-31,1964
phid/KMB,hubert opperman,LP,male,NA,NA,other,Military,1949-12-10,1967-06-10,1964
phid/KSC,john mcleay sr.,LP,male,NA,NA,self-employed_small_businessman,Military,1949-12-10,1966-10-31,1964
phid/KVG,philip stokes,LP,male,NA,NA,employed_other_white-collar_worker,Military,1955-12-10,1969-10-25,1964
phid/KVR,reginald swartz,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1972-11-02,1964
phid/KWR,harry turner,LP,male,Syd,humanities,employed_professional,NA,1952-12-20,1974-04-11,1964
phid/L0N,ray whittorn,LP,male,NA,NA,employed_middle_management,NA,1960-07-16,1974-04-11,1964
phid/L1I,robert lindsay,LP,male,NA,NA,other,Military,1954-05-29,1966-10-31,1964
phid/LLW,roger dean,LP,male,NA,NA,employed_professional,Military,1949-12-10,1964-09-30,1964
phid/N76,robert menzies,LP,male,Mel,law,employed_professional,NA,1934-09-15,1966-02-17,1964
phid/QS4,malcolm fraser,LP,male,Oxf,humanities,self-employed_farmer_fisherman,NA,1955-12-10,1983-03-31,1964
phid/ZL6,paul hasluck,LP,male,UWA,humanities,employed_other_white-collar_worker,NA,1949-12-10,1969-02-10,1964
