phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/0I4,michael mackellar,LP,male,Syd,agronomy,employed_professional,NA,1969-10-25,1994-02-18,1994
phid/0J4,philip ruddock,LP,male,Syd,humanities_law,employed_professional,NA,1993-03-13,2016-05-09,1994
phid/0V5,peter slipper,LP,male,Qld,humanities_law,employed_professional,NA,1993-03-13,2013-09-07,1994
phid/2H4,steele hall,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1981-02-21,1996-01-29,1994
phid/30000,kathy sullivan,LP,female,Qld,humanities,school_teacher,NA,1984-12-01,2001-10-08,1994
phid/3G4,don dobie,LP,male,Mel,humanities,self-employed_professional,NA,1975-12-13,1996-01-29,1994
phid/3H4,bob halverson,LP,male,NA,NA,other,Military,1984-12-01,1998-08-31,1994
phid/3V5,richard evans,LP,male,NA,NA,employed_professional,NA,1993-03-13,1998-10-03,1994
phid/4G4,alexander downer,LP,male,NUK,economics,employed_professional,NA,1984-12-01,2008-07-14,1994
phid/4V5,judi moylan,LP,female,NA,NA,employed_top_management,NA,1993-03-13,2013-08-05,1994
phid/6V5,eoin cameron,LP,male,NA,NA,other,NA,1993-03-13,1998-10-03,1994
phid/7V5,daryl williams,LP,male,UWA,law,employed_professional,NA,1993-03-13,2004-08-31,1994
phid/80000,michael wooldridge,LP,male,Mel,biol_chem_phys_medicine,employed_professional,NA,1987-07-11,2001-10-08,1994
phid/8H4,david hawker,LP,male,Mel,economics,self-employed_farmer_fisherman,NA,1983-05-07,2010-07-19,1994
phid/8V5,trish worth,LP,female,NA,NA,employed_professional,NA,1993-03-13,2004-10-09,1994
phid/9H4,john hewson,LP,male,Syd,economics,university_professor,NA,1987-07-11,1995-02-28,1994
phid/9V5,christopher pyne,LP,male,Adl,law,employed_professional,NA,1993-03-13,2019-04-11,1994
phid/BI4,chris miles,LP,male,Tas,other,school_teacher,NA,1984-12-01,1998-10-03,1994
phid/BT4,david kemp,LP,male,Mel,humanities_law,university_professor,NA,1990-03-24,2004-08-31,1994
phid/CT4,peter costello,LP,male,Mon,humanities_law,employed_professional,Military,1990-03-24,2009-10-19,1994
phid/CU4,christine gallus,LP,female,ANU,socialScience,employed_other_white-collar_worker,NA,1993-03-13,2004-08-31,1994
phid/DF4,jim carlton,LP,male,Syd,biol_chem_phys,employed_top_management,NA,1977-12-10,1994-01-14,1994
phid/EI4,john moore,LP,male,Qld,economics,employed_top_management,NA,1975-12-13,2001-02-05,1994
phid/FT4,john bradford,LP,male,Syd,economics,school_teacher,Military,1990-03-24,1998-10-03,1994
phid/HE4,neil andrew,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1983-03-05,2004-08-31,1994
phid/HK5,kevin andrews,LP,male,Mel,law,employed_professional,NA,1991-05-11,2023-01-01,1994
phid/HT4,ian mclachlan,LP,male,Cam,humanities,self-employed_farmer_fisherman,NA,1990-03-24,1998-08-31,1994
phid/HV5,barry wakelin,LP,male,NA,NA,self-employed_small_businessman,NA,1993-03-13,2007-10-17,1994
phid/JMI,rod atkinson,LP,male,NA,NA,employed_top_management,Military,1990-03-24,1996-03-02,1994
phid/KD4,ken aldred,LP,male,Mon,economics,employed_professional,Military,1990-03-24,1996-01-29,1994
phid/MH4,david jull,LP,male,NA,NA,employed_other_white-collar_worker,NA,1984-12-01,2007-10-17,1994
phid/MI4,andrew peacock,LP,male,Mel,law,employed_professional,NA,1966-04-02,1994-09-17,1994
phid/OE4,julian beale,LP,male,Syd,economics,employed_top_management,Military,1990-03-24,1996-03-02,1994
phid/OJ4,bill taylor,LP,male,Can,humanities,other,Military,1988-04-09,1998-08-31,1994
phid/OT4,bob charles,LP,male,Oth,engineering,employed_top_management,NA,1990-03-24,2004-08-31,1994
phid/QF4,david connolly,LP,male,Syd,humanities,other,NA,1974-05-18,1996-01-29,1994
phid/QT4,paul filing,LP,male,ANU,humanities,other,NA,1990-03-24,1998-10-03,1994
phid/RI4,geoff prosser,LP,male,NA,NA,employed_top_management,NA,1987-07-11,2007-10-17,1994
phid/SD4,alan cadman,LP,male,NSW,NA,employed_top_management,NA,1974-05-18,2007-10-17,1994
phid/SJ4,wilson tuckey,LP,male,NA,NA,employed_top_management,NA,1980-10-18,2010-08-21,1994
phid/UT4,peter nugent,LP,male,NA,NA,employed_top_management,Military,1990-03-24,2001-04-24,1994
phid/VH4,stewart mcarthur,LP,male,Cam,humanities,self-employed_farmer_fisherman,NA,1984-02-18,2007-11-24,1994
phid/VT4,bruce reid,LP,male,NA,NA,self-employed_small_businessman,Military,1990-03-24,1998-08-31,1994
phid/WI4,peter reith,LP,male,Mon,economics_law,employed_top_management,NA,1984-12-01,2001-10-08,1994
phid/XT4,michael ronaldson,LP,male,Mel,law,employed_professional,NA,1990-03-24,2001-10-08,1994
phid/XU5,lou lieberman,LP,male,Syd,law,employed_professional,Military,1993-03-13,2001-10-08,1994
phid/ZD4,john howard,LP,male,Syd,law,employed_professional,NA,1974-05-18,2007-11-24,1994
phid/ZI4,allan rocher,LP,male,NA,NA,employed_top_management,Military,1981-02-21,1998-10-03,1994
phid/ZT4,alex somlyay,LP,male,ANU,economics,employed_professional,NA,1990-03-24,2013-08-05,1994
