phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/1V4,jim cairns,ALP,male,Mel,economics,university_professor,Military,1955-12-10,1969-10-25,1969
phid/2V4,clyde cameron,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1980-09-19,1969
phid/5J4,gordon scholes,ALP,male,NA,NA,employed_blue-collar_worker,NA,1967-07-22,1993-02-08,1969
phid/6U4,gough whitlam,ALP,male,Syd,humanities_law,employed_professional,Military,1952-11-29,1978-07-31,1969
phid/6V4,fred daly,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1975-11-11,1969
phid/BV8,arthur calwell,ALP,male,NA,NA,trade_unionist,NA,1940-09-21,1972-11-02,1969
phid/EE4,tom uren,ALP,male,NA,NA,self-employed_small_businessman,Military,1958-11-22,1990-02-19,1969
phid/JAG,frank crean,ALP,male,Mel,humanities,employed_professional,NA,1951-04-28,1977-11-10,1969
phid/JF7,kim edward beazley,ALP,male,UWA,humanities,university_professor,NA,1945-08-18,1977-11-10,1969
phid/JO8,lance barnard,ALP,male,NA,NA,school_teacher,NA,1954-05-29,1975-06-02,1969
phid/JOO,noel beaton,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1960-07-16,1969-04-09,1969
phid/JP5,sam benson,ALP,male,NA,NA,other,Military,1962-09-01,1969-09-29,1969
phid/JPJ,fred birrell,ALP,male,NA,NA,trade_unionist,Military,1963-11-30,1974-04-11,1969
phid/JSU,gordon bryant,ALP,male,Mel,humanities,school_teacher,Military,1955-12-10,1980-09-19,1969
phid/JUQ,joe clark,ALP,male,NA,NA,self-employed_small_businessman,NA,1934-09-15,1969-09-29,1969
phid/JUX,dan minogue,ALP,male,NA,NA,self-employed_small_businessman,NA,1949-12-10,1969-06-26,1969
phid/JWX,jim fraser,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1951-04-28,1970-04-01,1969
phid/JZP,bill fulton,ALP,male,NA,NA,employed_top_management,Military,1958-11-22,1975-11-11,1969
phid/JZX,fred collard,ALP,male,NA,NA,trade_unionist,NA,1961-12-09,1975-12-13,1969
phid/K0O,rex connor,ALP,male,NA,NA,self-employed_farmer_fisherman,Military,1963-11-30,1977-08-22,1969
phid/K4U,martin nicholls,ALP,male,NA,NA,trade_unionist,Military,1963-11-30,1977-09-30,1969
phid/K58,william o'connor,ALP,male,NA,NA,trade_unionist,NA,1955-12-10,1969-09-29,1969
phid/K5L,jim cope,ALP,male,NA,NA,trade_unionist,NA,1955-12-10,1969-10-25,1969
phid/K6T,dominic costa,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1969-09-29,1969
phid/K6V,frank courtnay,ALP,male,NA,NA,trade_unionist,NA,1958-11-22,1969-09-29,1969
phid/K8B,dan curtin,ALP,male,NA,NA,employed_blue-collar_worker,NA,1955-12-10,1969-09-29,1969
phid/KCB,ron davies,ALP,male,Tas,humanities,school_teacher,Military,1958-11-22,1975-12-13,1969
phid/KCI,len devine,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1963-09-28,1969-09-29,1969
phid/KDA,gil duthie,ALP,male,Mel,humanities,school_teacher,NA,1946-09-28,1975-12-13,1969
phid/KDP,doug everingham,ALP,male,Syd,medicine,employed_professional,NA,1967-09-30,1975-12-13,1969
phid/KDV,charles jones,ALP,male,NA,NA,trade_unionist,NA,1958-11-22,1983-02-04,1969
phid/KFG,charles griffiths,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1972-11-02,1969
phid/KGH,brendan hansen,ALP,male,NA,NA,trade_unionist,NA,1961-12-09,1974-05-18,1969
phid/KID,tony luchetti,ALP,male,NA,NA,employed_other_white-collar_worker,NA,1951-07-28,1975-11-11,1969
phid/KJO,bert james,ALP,male,NA,NA,employed_blue-collar_worker,NA,1960-04-09,1980-09-19,1969
phid/KNM,jim harrison,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1969-09-29,1969
phid/KRK,hector mcivor,ALP,male,NA,NA,employed_other_white-collar_worker,NA,1955-12-10,1972-11-02,1969
phid/KUX,frank stewart,ALP,male,NA,NA,other,Military,1953-08-29,1977-12-10,1969
phid/KXI,harry webb,ALP,male,NA,NA,trade_unionist,NA,1961-12-09,1972-12-02,1969
phid/KXV,rex patterson,ALP,male,Qld,economics,employed_other_white-collar_worker,Military,1966-02-26,1975-12-13,1969
phid/KXZ,ted peters,ALP,male,NA,NA,trade_unionist,NA,1955-12-10,1969-09-29,1969
phid/RK4,bill hayden,ALP,male,Qld,economics,full-time_politician,NA,1961-12-09,1988-08-17,1969
phid/YF4,manfred cross,ALP,male,Qld,humanities,employed_other_white-collar_worker,NA,1961-12-09,1975-12-13,1969
