phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/009MA,william mcmahon,LP,male,Syd,economics_law,employed_professional,Military,1949-12-10,1982-01-04,1952
phid/009MC,harold holt,LP,male,Mel,law,employed_professional,NA,1949-12-10,1967-12-19,1952
phid/DB6,bill wentworth,LP,male,Oxf,economics,self-employed_professional,Military,1949-12-10,1977-11-10,1952
phid/DQC,billy hughes,LP,male,NA,NA,trade_unionist,NA,1949-12-10,1952-10-28,1952
phid/JOE,jeff bate,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1972-12-02,1952
phid/JOI,howard beale,LP,male,Syd,humanities_law,self-employed_professional,Military,1946-09-28,1958-02-10,1952
phid/JPA,doug berry,LP,male,NA,NA,employed_blue-collar_worker,NA,1949-12-10,1954-05-29,1952
phid/JQ7,francis bland,LP,male,Syd,law,university_professor,NA,1951-04-28,1961-11-02,1952
phid/JRB,william bostock,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1958-11-22,1952
phid/JSI,geoffrey brown,LP,male,Cam,humanities,self-employed_farmer_fisherman,Military,1949-12-10,1955-10-14,1952
phid/JTY,archie cameron,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1934-09-15,1956-08-09,1952
phid/JU8,don cameron,LP,male,Syd,humanities,other,Military,1949-12-10,1961-12-09,1952
phid/JWE,richard casey,LP,male,Cam,engineering,employed_top_management,Military,1949-12-10,1960-02-10,1952
phid/JWT,josiah francis,LP,male,NA,NA,employed_top_management,Military,1922-12-16,1955-11-04,1952
phid/JXI,gordon freeth,LP,male,UWA,law,employed_professional,Military,1949-12-10,1969-10-25,1952
phid/K7J,john cramer,LP,male,NA,NA,employed_other_white-collar_worker,Military,1949-12-10,1974-04-11,1952
phid/KBH,keith wilson,LP,male,Adl,law,employed_professional,Military,1949-12-10,1954-05-29,1952
phid/KCD,frank davis,LP,male,NA,NA,employed_blue-collar_worker,NA,1949-12-10,1966-10-31,1952
phid/KCK,alick downer,LP,male,Oxf,economics,employed_professional,Military,1949-12-10,1964-04-23,1952
phid/KCQ,bill graham,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1954-05-29,1952
phid/KCU,nigel drury,LP,male,NA,NA,employed_professional,Military,1949-12-10,1975-11-11,1952
phid/KDT,david fairbairn,LP,male,Cam,humanities,self-employed_farmer_fisherman,Military,1949-12-10,1975-11-11,1952
phid/KDY,percy joske,LP,male,Mel,law,employed_professional,Military,1951-07-28,1960-06-02,1952
phid/KE8,bruce kekwick,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1954-05-29,1952
phid/KEE,wilfrid kent hughes,LP,male,Oxf,humanities,employed_top_management,Military,1949-12-10,1970-07-31,1952
phid/KEN,allen fairhall,LP,male,NA,NA,employed_blue-collar_worker,Military,1949-12-10,1969-09-29,1952
phid/KEP,bill falkinder,LP,male,NA,NA,employed_professional,Military,1946-09-28,1966-10-31,1952
phid/KF8,bill grayden,LP,male,NA,NA,employed_blue-collar_worker,Military,1949-12-10,1954-05-29,1952
phid/KFQ,jo gullett,LP,male,Oxf,humanities,self-employed_farmer_fisherman,Military,1946-03-30,1955-11-04,1952
phid/KGP,william haworth,LP,male,Mel,medicine,employed_professional,Military,1949-12-10,1969-09-29,1952
phid/KHY,john howse,LP,male,Syd,humanities,employed_top_management,Military,1946-09-28,1960-09-28,1952
phid/KIE,aubrey luck,LP,male,NA,NA,self-employed_small_businessman,NA,1951-04-28,1955-12-10,1952
phid/KIF,alan hulme,LP,male,NA,NA,employed_professional,NA,1949-12-10,1961-12-09,1952
phid/KJK,william jack,LP,male,NA,NA,employed_top_management,NA,1949-12-10,1966-10-31,1952
phid/KMB,hubert opperman,LP,male,NA,NA,other,Military,1949-12-10,1967-06-10,1952
phid/KMD,frederick osborne,LP,male,Syd,humanities_law,employed_professional,Military,1949-12-10,1961-12-09,1952
phid/KNX,eric harrison,LP,male,NA,NA,other,Military,1931-12-19,1956-10-17,1952
phid/KOL,philip mcbride,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1946-09-28,1958-10-14,1952
phid/KQJ,malcolm mccolm,LP,male,NA,NA,employed_other_white-collar_worker,Military,1949-12-10,1961-12-09,1952
phid/KQK,allan mcdonald,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1940-09-21,1953-06-10,1952
phid/KSC,john mcleay sr.,LP,male,NA,NA,self-employed_small_businessman,Military,1949-12-10,1966-10-31,1952
phid/KVR,reginald swartz,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1972-11-02,1952
phid/KWE,frank timson,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1960-10-16,1952
phid/KWH,athol townley,LP,male,Tas,medicine,employed_professional,Military,1949-12-10,1963-12-24,1952
phid/KXW,henry pearce,LP,male,NA,NA,other,NA,1949-12-10,1961-12-09,1952
phid/KZP,roy wheeler,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1961-12-09,1952
phid/KZW,william lawrence,LP,male,Mel,medicine,employed_professional,NA,1949-12-10,1958-11-22,1952
phid/L0G,rupert ryan,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1940-09-21,1952-08-26,1952
phid/L0V,bruce wight,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1961-12-09,1952
phid/LLW,roger dean,LP,male,NA,NA,employed_professional,Military,1949-12-10,1964-09-30,1952
phid/N76,robert menzies,LP,male,Mel,law,employed_professional,NA,1934-09-15,1966-02-17,1952
phid/ZL6,paul hasluck,LP,male,UWA,humanities,employed_other_white-collar_worker,NA,1949-12-10,1969-02-10,1952
