"phid","Name","Party","Sex","Uni","Subject","PrinOcc","Military","mpFrom","mpTo","year"
"phid/009MB","john mcewen","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-10-23","1949-12-10",1947
"phid/009MC","harold holt","LP","male","Mel","law","employed_professional",NA,"1935-08-17","1949-12-10",1947
"phid/6V4","fred daly","ALP","male",NA,NA,"trade_unionist",NA,"1943-08-21","1949-12-10",1947
"phid/A48","ben chifley","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1951-06-13",1947
"phid/BV8","arthur calwell","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1972-11-02",1947
"phid/C7E","earle page","CP","male","Syd","biol_chem_phys","employed_professional","Military","1919-12-13","1961-12-09",1947
"phid/DQC","billy hughes","LP","male",NA,NA,"trade_unionist",NA,"1922-12-16","1949-12-10",1947
"phid/DTN","h.v. evatt","ALP","male","Syd","humanities_law","employed_professional",NA,"1940-09-21","1958-11-22",1947
"phid/F4Q","james scullin","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1922-02-18","1949-10-31",1947
"phid/F4T","arthur fadden","CP","male",NA,NA,"employed_professional",NA,"1936-12-19","1949-12-10",1947
"phid/J7U","enid lyons","LP","female",NA,NA,"school_teacher",NA,"1943-08-21","1951-03-19",1947
"phid/JF7","kim edward beazley","ALP","male","UWA","humanities","university_professor",NA,"1945-08-18","1977-11-10",1947
"phid/JLL","joe abbott","CP","male","Syd","humanities","self-employed_farmer_fisherman","Military","1940-09-21","1949-10-31",1947
"phid/JLR","charles adermann","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1943-08-21","1949-12-10",1947
"phid/JLZ","larry james anthony","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1957-07-12",1947
"phid/JNX","claude barnard","ALP","male",NA,NA,"trade_unionist",NA,"1934-09-15","1949-12-10",1947
"phid/JOI","howard beale","LP","male","Syd","humanities_law","self-employed_professional","Military","1946-09-28","1958-02-10",1947
"phid/JPL","doris blackburn","IND LAB","female",NA,NA,"other",NA,"1946-09-28","1949-12-10",1947
"phid/JPT","adair blain","IND","male","Adl",NA,"employed_professional","Military","1934-09-15","1949-12-10",1947
"phid/JRJ","george bowden","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1943-08-21","1961-11-02",1947
"phid/JSC","frank brennan","ALP","male","Mel","law","employed_professional",NA,"1934-09-15","1949-10-31",1947
"phid/JTF","tom burke","ALP","male",NA,NA,"employed_middle_management","Military","1943-08-21","1955-12-10",1947
"phid/JTY","archie cameron","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1934-09-15","1956-08-09",1947
"phid/JUQ","joe clark","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1969-09-29",1947
"phid/JVJ","dan mulcahy","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1953-07-13",1947
"phid/JWR","cyril chambers","ALP","male",NA,NA,"employed_professional","Military","1943-08-21","1958-10-14",1947
"phid/JWT","josiah francis","LP","male",NA,NA,"employed_top_management","Military","1922-12-16","1955-11-04",1947
"phid/JWU","allan fraser","ALP","male",NA,NA,"employed_other_white-collar_worker",NA,"1943-08-21","1966-11-26",1947
"phid/JYV","arthur fuller","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1943-08-21","1949-12-10",1947
"phid/K0E","john gaha","ALP","male","Oth","medicine","employed_professional",NA,"1943-08-21","1949-10-31",1947
"phid/K0K","william conelan","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1939-05-20","1949-12-10",1947
"phid/K2A","george rankin","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1949-10-31",1947
"phid/K58","william o'connor","ALP","male",NA,NA,"trade_unionist",NA,"1946-09-28","1949-12-10",1947
"phid/K6Q","bernard corser","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1928-09-03","1954-04-21",1947
"phid/K9G","herbert johnson","ALP","male",NA,NA,"trade_unionist",NA,"1940-11-16","1958-10-14",1947
"phid/KCA","charles davidson","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-09-28","1949-12-10",1947
"phid/KCF","john dedman","ALP","male","Mel","economics","self-employed_farmer_fisherman","Military","1940-03-02","1949-12-10",1947
"phid/KCM","arthur drakeford","ALP","male",NA,NA,"trade_unionist",NA,"1934-09-15","1955-12-10",1947
"phid/KDA","gil duthie","ALP","male","Mel","humanities","school_teacher",NA,"1946-09-28","1975-12-13",1947
"phid/KDB","bill edmonds","ALP","male",NA,NA,"trade_unionist",NA,"1946-09-28","1958-11-22",1947
"phid/KEP","bill falkinder","LP","male",NA,NA,"employed_professional","Military","1946-09-28","1966-10-31",1947
"phid/KEU","max falstein","ALP","male","Syd","humanities_law","employed_professional",NA,"1940-09-21","1949-12-10",1947
"phid/KFQ","jo gullett","LP","male","Oxf","humanities","self-employed_farmer_fisherman","Military","1946-03-30","1955-11-04",1947
"phid/KFX","james hadley","ALP","male",NA,NA,"trade_unionist",NA,"1943-08-21","1949-12-10",1947
"phid/KGC","len hamilton","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-09-28","1949-12-10",1947
"phid/KGX","les haylen","ALP","male",NA,NA,"employed_other_white-collar_worker","Military","1943-08-21","1963-11-30",1947
"phid/KHL","jack holloway","ALP","male",NA,NA,"trade_unionist",NA,"1931-12-19","1951-03-19",1947
"phid/KHY","john howse","LP","male","Syd","humanities","employed_top_management","Military","1946-09-28","1960-09-28",1947
"phid/KIX","william hutchinson","LP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-10-23","1949-10-31",1947
"phid/KJQ","rowley james","ALP","male",NA,NA,"trade_unionist",NA,"1928-11-17","1958-10-14",1947
"phid/KNX","eric harrison","LP","male",NA,NA,"other","Military","1931-12-19","1956-10-17",1947
"phid/KOL","philip mcbride","LP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1946-09-28","1958-10-14",1947
"phid/KQB","william scully","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-05-08","1949-12-10",1947
"phid/KQK","allan mcdonald","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1953-06-10",1947
"phid/KRE","tom sheehan","ALP","male",NA,NA,"trade_unionist",NA,"1937-10-23","1955-03-26",1947
"phid/KRI","thomas sheehy","ALP","male",NA,NA,"employed_top_management",NA,"1943-08-21","1949-12-10",1947
"phid/KSD","don mcleod","ALP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1949-12-10",1947
"phid/KUG","percy spender","LP","male","Syd","humanities_law","employed_professional",NA,"1937-10-23","1951-03-19",1947
"phid/KVT","albert thompson","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1946-09-28","1949-12-10",1947
"phid/KWP","winton turnbull","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-02-09","1949-12-10",1947
"phid/KX7","eddie ward","ALP","male",NA,NA,"trade_unionist",NA,"1932-02-06","1963-07-31",1947
"phid/KXB","david oliver watkins","ALP","male",NA,NA,"self-employed_small_businessman","Military","1935-06-01","1958-10-14",1947
"phid/KYC","reg pollard","ALP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1949-12-10",1947
"phid/KZ9","bill riordan","ALP","male",NA,NA,"full-time_politician",NA,"1936-12-12","1966-10-31",1947
"phid/KZJ","jack lang","LANG LAB","male",NA,NA,"employed_other_white-collar_worker",NA,"1946-09-28","1949-12-10",1947
"phid/KZN","joe langtry","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1940-09-21","1949-12-10",1947
"phid/KZR","thomas white","LP","male",NA,NA,"employed_top_management","Military","1929-08-03","1951-06-20",1947
"phid/KZX","george lawson","ALP","male",NA,NA,"trade_unionist","Military","1931-12-19","1961-11-02",1947
"phid/L07","bert lazzarini","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1952-10-01",1947
"phid/L08","sol rosevear","ALP","male",NA,NA,"employed_blue-collar_worker",NA,"1931-12-19","1953-03-21",1947
"phid/L0F","edgar russell","ALP","male",NA,NA,"self-employed_professional",NA,"1943-08-21","1963-03-31",1947
"phid/L0G","rupert ryan","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1952-08-26",1947
"phid/L0X","nelson lemmon","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1943-08-21","1949-12-10",1947
"phid/L1A","thomas williams","ALP","male","Syd","law","employed_professional",NA,"1943-08-21","1949-12-10",1947
"phid/N76","robert menzies","LP","male","Mel","law","employed_professional",NA,"1934-09-15","1966-02-17",1947
"phid/009MB","john mcewen","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-10-23","1949-12-10",1948
"phid/009MC","harold holt","LP","male","Mel","law","employed_professional",NA,"1935-08-17","1949-12-10",1948
"phid/6V4","fred daly","ALP","male",NA,NA,"trade_unionist",NA,"1943-08-21","1949-12-10",1948
"phid/A48","ben chifley","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1951-06-13",1948
"phid/BV8","arthur calwell","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1972-11-02",1948
"phid/C7E","earle page","CP","male","Syd","biol_chem_phys","employed_professional","Military","1919-12-13","1961-12-09",1948
"phid/DQC","billy hughes","LP","male",NA,NA,"trade_unionist",NA,"1922-12-16","1949-12-10",1948
"phid/DTN","h.v. evatt","ALP","male","Syd","humanities_law","employed_professional",NA,"1940-09-21","1958-11-22",1948
"phid/F4Q","james scullin","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1922-02-18","1949-10-31",1948
"phid/F4T","arthur fadden","CP","male",NA,NA,"employed_professional",NA,"1936-12-19","1949-12-10",1948
"phid/J7U","enid lyons","LP","female",NA,NA,"school_teacher",NA,"1943-08-21","1951-03-19",1948
"phid/JF7","kim edward beazley","ALP","male","UWA","humanities","university_professor",NA,"1945-08-18","1977-11-10",1948
"phid/JLL","joe abbott","CP","male","Syd","humanities","self-employed_farmer_fisherman","Military","1940-09-21","1949-10-31",1948
"phid/JLR","charles adermann","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1943-08-21","1949-12-10",1948
"phid/JLZ","larry james anthony","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1957-07-12",1948
"phid/JNX","claude barnard","ALP","male",NA,NA,"trade_unionist",NA,"1934-09-15","1949-12-10",1948
"phid/JOI","howard beale","LP","male","Syd","humanities_law","self-employed_professional","Military","1946-09-28","1958-02-10",1948
"phid/JPL","doris blackburn","IND LAB","female",NA,NA,"other",NA,"1946-09-28","1949-12-10",1948
"phid/JPT","adair blain","IND","male","Adl",NA,"employed_professional","Military","1934-09-15","1949-12-10",1948
"phid/JRJ","george bowden","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1943-08-21","1961-11-02",1948
"phid/JSC","frank brennan","ALP","male","Mel","law","employed_professional",NA,"1934-09-15","1949-10-31",1948
"phid/JTF","tom burke","ALP","male",NA,NA,"employed_middle_management","Military","1943-08-21","1955-12-10",1948
"phid/JTY","archie cameron","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1934-09-15","1956-08-09",1948
"phid/JUQ","joe clark","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1969-09-29",1948
"phid/JVJ","dan mulcahy","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1953-07-13",1948
"phid/JWR","cyril chambers","ALP","male",NA,NA,"employed_professional","Military","1943-08-21","1958-10-14",1948
"phid/JWT","josiah francis","LP","male",NA,NA,"employed_top_management","Military","1922-12-16","1955-11-04",1948
"phid/JWU","allan fraser","ALP","male",NA,NA,"employed_other_white-collar_worker",NA,"1943-08-21","1966-11-26",1948
"phid/JYV","arthur fuller","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1943-08-21","1949-12-10",1948
"phid/K0E","john gaha","ALP","male","Oth","medicine","employed_professional",NA,"1943-08-21","1949-10-31",1948
"phid/K0K","william conelan","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1939-05-20","1949-12-10",1948
"phid/K2A","george rankin","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1949-10-31",1948
"phid/K58","william o'connor","ALP","male",NA,NA,"trade_unionist",NA,"1946-09-28","1949-12-10",1948
"phid/K6Q","bernard corser","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1928-09-03","1954-04-21",1948
"phid/K9G","herbert johnson","ALP","male",NA,NA,"trade_unionist",NA,"1940-11-16","1958-10-14",1948
"phid/KCA","charles davidson","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-09-28","1949-12-10",1948
"phid/KCF","john dedman","ALP","male","Mel","economics","self-employed_farmer_fisherman","Military","1940-03-02","1949-12-10",1948
"phid/KCM","arthur drakeford","ALP","male",NA,NA,"trade_unionist",NA,"1934-09-15","1955-12-10",1948
"phid/KDA","gil duthie","ALP","male","Mel","humanities","school_teacher",NA,"1946-09-28","1975-12-13",1948
"phid/KDB","bill edmonds","ALP","male",NA,NA,"trade_unionist",NA,"1946-09-28","1958-11-22",1948
"phid/KEP","bill falkinder","LP","male",NA,NA,"employed_professional","Military","1946-09-28","1966-10-31",1948
"phid/KEU","max falstein","ALP","male","Syd","humanities_law","employed_professional",NA,"1940-09-21","1949-12-10",1948
"phid/KFQ","jo gullett","LP","male","Oxf","humanities","self-employed_farmer_fisherman","Military","1946-03-30","1955-11-04",1948
"phid/KFX","james hadley","ALP","male",NA,NA,"trade_unionist",NA,"1943-08-21","1949-12-10",1948
"phid/KGC","len hamilton","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-09-28","1949-12-10",1948
"phid/KGX","les haylen","ALP","male",NA,NA,"employed_other_white-collar_worker","Military","1943-08-21","1963-11-30",1948
"phid/KHL","jack holloway","ALP","male",NA,NA,"trade_unionist",NA,"1931-12-19","1951-03-19",1948
"phid/KHY","john howse","LP","male","Syd","humanities","employed_top_management","Military","1946-09-28","1960-09-28",1948
"phid/KIX","william hutchinson","LP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-10-23","1949-10-31",1948
"phid/KJQ","rowley james","ALP","male",NA,NA,"trade_unionist",NA,"1928-11-17","1958-10-14",1948
"phid/KNX","eric harrison","LP","male",NA,NA,"other","Military","1931-12-19","1956-10-17",1948
"phid/KOL","philip mcbride","LP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1946-09-28","1958-10-14",1948
"phid/KQB","william scully","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-05-08","1949-12-10",1948
"phid/KQK","allan mcdonald","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1953-06-10",1948
"phid/KRE","tom sheehan","ALP","male",NA,NA,"trade_unionist",NA,"1937-10-23","1955-03-26",1948
"phid/KRI","thomas sheehy","ALP","male",NA,NA,"employed_top_management",NA,"1943-08-21","1949-12-10",1948
"phid/KSD","don mcleod","ALP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1949-12-10",1948
"phid/KUG","percy spender","LP","male","Syd","humanities_law","employed_professional",NA,"1937-10-23","1951-03-19",1948
"phid/KVT","albert thompson","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1946-09-28","1949-12-10",1948
"phid/KWP","winton turnbull","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-02-09","1949-12-10",1948
"phid/KX7","eddie ward","ALP","male",NA,NA,"trade_unionist",NA,"1932-02-06","1963-07-31",1948
"phid/KXB","david oliver watkins","ALP","male",NA,NA,"self-employed_small_businessman","Military","1935-06-01","1958-10-14",1948
"phid/KYC","reg pollard","ALP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1949-12-10",1948
"phid/KZ9","bill riordan","ALP","male",NA,NA,"full-time_politician",NA,"1936-12-12","1966-10-31",1948
"phid/KZJ","jack lang","LANG LAB","male",NA,NA,"employed_other_white-collar_worker",NA,"1946-09-28","1949-12-10",1948
"phid/KZN","joe langtry","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1940-09-21","1949-12-10",1948
"phid/KZR","thomas white","LP","male",NA,NA,"employed_top_management","Military","1929-08-03","1951-06-20",1948
"phid/KZX","george lawson","ALP","male",NA,NA,"trade_unionist","Military","1931-12-19","1961-11-02",1948
"phid/L07","bert lazzarini","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1952-10-01",1948
"phid/L08","sol rosevear","ALP","male",NA,NA,"employed_blue-collar_worker",NA,"1931-12-19","1953-03-21",1948
"phid/L0F","edgar russell","ALP","male",NA,NA,"self-employed_professional",NA,"1943-08-21","1963-03-31",1948
"phid/L0G","rupert ryan","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1952-08-26",1948
"phid/L0X","nelson lemmon","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1943-08-21","1949-12-10",1948
"phid/L1A","thomas williams","ALP","male","Syd","law","employed_professional",NA,"1943-08-21","1949-12-10",1948
"phid/N76","robert menzies","LP","male","Mel","law","employed_professional",NA,"1934-09-15","1966-02-17",1948
"phid/009MB","john mcewen","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-10-23","1949-12-10",1949
"phid/009MC","harold holt","LP","male","Mel","law","employed_professional",NA,"1935-08-17","1949-12-10",1949
"phid/6V4","fred daly","ALP","male",NA,NA,"trade_unionist",NA,"1943-08-21","1949-12-10",1949
"phid/A48","ben chifley","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1951-06-13",1949
"phid/BV8","arthur calwell","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1972-11-02",1949
"phid/C7E","earle page","CP","male","Syd","biol_chem_phys","employed_professional","Military","1919-12-13","1961-12-09",1949
"phid/DQC","billy hughes","LP","male",NA,NA,"trade_unionist",NA,"1922-12-16","1949-12-10",1949
"phid/DTN","h.v. evatt","ALP","male","Syd","humanities_law","employed_professional",NA,"1940-09-21","1958-11-22",1949
"phid/F4Q","james scullin","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1922-02-18","1949-10-31",1949
"phid/F4T","arthur fadden","CP","male",NA,NA,"employed_professional",NA,"1936-12-19","1949-12-10",1949
"phid/J7U","enid lyons","LP","female",NA,NA,"school_teacher",NA,"1943-08-21","1951-03-19",1949
"phid/JF7","kim edward beazley","ALP","male","UWA","humanities","university_professor",NA,"1945-08-18","1977-11-10",1949
"phid/JLL","joe abbott","CP","male","Syd","humanities","self-employed_farmer_fisherman","Military","1940-09-21","1949-10-31",1949
"phid/JLR","charles adermann","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1943-08-21","1949-12-10",1949
"phid/JLZ","larry james anthony","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1957-07-12",1949
"phid/JNX","claude barnard","ALP","male",NA,NA,"trade_unionist",NA,"1934-09-15","1949-12-10",1949
"phid/JOI","howard beale","LP","male","Syd","humanities_law","self-employed_professional","Military","1946-09-28","1958-02-10",1949
"phid/JPL","doris blackburn","IND LAB","female",NA,NA,"other",NA,"1946-09-28","1949-12-10",1949
"phid/JPT","adair blain","IND","male","Adl",NA,"employed_professional","Military","1934-09-15","1949-12-10",1949
"phid/JRJ","george bowden","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1943-08-21","1961-11-02",1949
"phid/JSC","frank brennan","ALP","male","Mel","law","employed_professional",NA,"1934-09-15","1949-10-31",1949
"phid/JTF","tom burke","ALP","male",NA,NA,"employed_middle_management","Military","1943-08-21","1955-12-10",1949
"phid/JTY","archie cameron","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1934-09-15","1956-08-09",1949
"phid/JUQ","joe clark","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1969-09-29",1949
"phid/JVJ","dan mulcahy","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1953-07-13",1949
"phid/JWR","cyril chambers","ALP","male",NA,NA,"employed_professional","Military","1943-08-21","1958-10-14",1949
"phid/JWT","josiah francis","LP","male",NA,NA,"employed_top_management","Military","1922-12-16","1955-11-04",1949
"phid/JWU","allan fraser","ALP","male",NA,NA,"employed_other_white-collar_worker",NA,"1943-08-21","1966-11-26",1949
"phid/JYV","arthur fuller","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1943-08-21","1949-12-10",1949
"phid/K0E","john gaha","ALP","male","Oth","medicine","employed_professional",NA,"1943-08-21","1949-10-31",1949
"phid/K0K","william conelan","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1939-05-20","1949-12-10",1949
"phid/K2A","george rankin","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1949-10-31",1949
"phid/K58","william o'connor","ALP","male",NA,NA,"trade_unionist",NA,"1946-09-28","1949-12-10",1949
"phid/K6Q","bernard corser","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1928-09-03","1954-04-21",1949
"phid/K9G","herbert johnson","ALP","male",NA,NA,"trade_unionist",NA,"1940-11-16","1958-10-14",1949
"phid/KCA","charles davidson","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-09-28","1949-12-10",1949
"phid/KCF","john dedman","ALP","male","Mel","economics","self-employed_farmer_fisherman","Military","1940-03-02","1949-12-10",1949
"phid/KCM","arthur drakeford","ALP","male",NA,NA,"trade_unionist",NA,"1934-09-15","1955-12-10",1949
"phid/KDA","gil duthie","ALP","male","Mel","humanities","school_teacher",NA,"1946-09-28","1975-12-13",1949
"phid/KDB","bill edmonds","ALP","male",NA,NA,"trade_unionist",NA,"1946-09-28","1958-11-22",1949
"phid/KEP","bill falkinder","LP","male",NA,NA,"employed_professional","Military","1946-09-28","1966-10-31",1949
"phid/KEU","max falstein","ALP","male","Syd","humanities_law","employed_professional",NA,"1940-09-21","1949-12-10",1949
"phid/KFQ","jo gullett","LP","male","Oxf","humanities","self-employed_farmer_fisherman","Military","1946-03-30","1955-11-04",1949
"phid/KFX","james hadley","ALP","male",NA,NA,"trade_unionist",NA,"1943-08-21","1949-12-10",1949
"phid/KGC","len hamilton","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-09-28","1949-12-10",1949
"phid/KGX","les haylen","ALP","male",NA,NA,"employed_other_white-collar_worker","Military","1943-08-21","1963-11-30",1949
"phid/KHL","jack holloway","ALP","male",NA,NA,"trade_unionist",NA,"1931-12-19","1951-03-19",1949
"phid/KHY","john howse","LP","male","Syd","humanities","employed_top_management","Military","1946-09-28","1960-09-28",1949
"phid/KIX","william hutchinson","LP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-10-23","1949-10-31",1949
"phid/KJQ","rowley james","ALP","male",NA,NA,"trade_unionist",NA,"1928-11-17","1958-10-14",1949
"phid/KNX","eric harrison","LP","male",NA,NA,"other","Military","1931-12-19","1956-10-17",1949
"phid/KOL","philip mcbride","LP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1946-09-28","1958-10-14",1949
"phid/KQB","william scully","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1937-05-08","1949-12-10",1949
"phid/KQK","allan mcdonald","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1953-06-10",1949
"phid/KRE","tom sheehan","ALP","male",NA,NA,"trade_unionist",NA,"1937-10-23","1955-03-26",1949
"phid/KRI","thomas sheehy","ALP","male",NA,NA,"employed_top_management",NA,"1943-08-21","1949-12-10",1949
"phid/KSD","don mcleod","ALP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1949-12-10",1949
"phid/KUG","percy spender","LP","male","Syd","humanities_law","employed_professional",NA,"1937-10-23","1951-03-19",1949
"phid/KVT","albert thompson","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1946-09-28","1949-12-10",1949
"phid/KWP","winton turnbull","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1946-02-09","1949-12-10",1949
"phid/KX7","eddie ward","ALP","male",NA,NA,"trade_unionist",NA,"1932-02-06","1963-07-31",1949
"phid/KXB","david oliver watkins","ALP","male",NA,NA,"self-employed_small_businessman","Military","1935-06-01","1958-10-14",1949
"phid/KYC","reg pollard","ALP","male",NA,NA,"self-employed_farmer_fisherman","Military","1937-10-23","1949-12-10",1949
"phid/KZ9","bill riordan","ALP","male",NA,NA,"full-time_politician",NA,"1936-12-12","1966-10-31",1949
"phid/KZJ","jack lang","LANG LAB","male",NA,NA,"employed_other_white-collar_worker",NA,"1946-09-28","1949-12-10",1949
"phid/KZN","joe langtry","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1940-09-21","1949-12-10",1949
"phid/KZR","thomas white","LP","male",NA,NA,"employed_top_management","Military","1929-08-03","1951-06-20",1949
"phid/KZX","george lawson","ALP","male",NA,NA,"trade_unionist","Military","1931-12-19","1961-11-02",1949
"phid/L07","bert lazzarini","ALP","male",NA,NA,"self-employed_small_businessman",NA,"1934-09-15","1952-10-01",1949
"phid/L08","sol rosevear","ALP","male",NA,NA,"employed_blue-collar_worker",NA,"1931-12-19","1953-03-21",1949
"phid/L0F","edgar russell","ALP","male",NA,NA,"self-employed_professional",NA,"1943-08-21","1963-03-31",1949
"phid/L0G","rupert ryan","LP","male",NA,NA,"self-employed_farmer_fisherman","Military","1940-09-21","1952-08-26",1949
"phid/L0X","nelson lemmon","ALP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1943-08-21","1949-12-10",1949
"phid/L1A","thomas williams","ALP","male","Syd","law","employed_professional",NA,"1943-08-21","1949-12-10",1949
"phid/N76","robert menzies","LP","male","Mel","law","employed_professional",NA,"1934-09-15","1966-02-17",1949
"phid/009MA","william mcmahon","LP","male","Syd","economics_law","employed_professional","Military","1949-12-10","1982-01-04",1950
"phid/009MB","john mcewen","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1949-12-10","1971-02-01",1950
"phid/009MC","harold holt","LP","male","Mel","law","employed_professional",NA,"1949-12-10","1967-12-19",1950
"phid/2V4","clyde cameron","ALP","male",NA,NA,"trade_unionist",NA,"1949-12-10","1980-09-19",1950
"phid/6V4","fred daly","ALP","male",NA,NA,"trade_unionist",NA,"1949-12-10","1975-11-11",1950
"phid/A48","ben chifley","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1951-06-13",1950
"phid/BV8","arthur calwell","ALP","male",NA,NA,"trade_unionist",NA,"1940-09-21","1972-11-02",1950
"phid/C7E","earle page","CP","male","Syd","biol_chem_phys","employed_professional","Military","1919-12-13","1961-12-09",1950
"phid/DB6","bill wentworth","LP","male","Oxf","economics","self-employed_professional","Military","1949-12-10","1977-11-10",1950
"phid/DQC","billy hughes","LP","male",NA,NA,"trade_unionist",NA,"1949-12-10","1952-10-28",1950
"phid/DTN","h.v. evatt","ALP","male","Syd","humanities_law","employed_professional",NA,"1940-09-21","1958-11-22",1950
"phid/F4T","arthur fadden","CP","male",NA,NA,"employed_professional",NA,"1949-12-10","1958-10-14",1950
"phid/J7U","enid lyons","LP","female",NA,NA,"school_teacher",NA,"1943-08-21","1951-03-19",1950
"phid/JF7","kim edward beazley","ALP","male","UWA","humanities","university_professor",NA,"1945-08-18","1977-11-10",1950
"phid/JLR","charles adermann","CP","male",NA,NA,"self-employed_farmer_fisherman",NA,"1949-12-10","1972-11-02",1950
"phid/JLU","charles anderson","CP","male",NA,NA,"self-employed_farmer_fisherman","Military","1949-12-10","1951-04-28",1950
"phid/JLV","gordon anderson","ALP","male",NA,NA,"employed_other_white-collar_worker",NA,"1949-12-10","1955-11-04",1950
"phid/JLW","tom andrews","ALP","male",NA,NA,"school_teacher",NA,"1949-12-10","1955-12-10",1950
